,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,sydney,-33.8679,151.2073,70.0,72,40,18.41,AU,1620781268
270,milton,34.1322,-84.3007,66.0,85,100,4.45,US,1620781877
271,kavaratti,10.5669,72.642,85.03,71,100,6.35,IN,1620781878
272,pueblo,38.2545,-104.6091,44.6,81,90,8.05,US,1620781851
273,high level,33.6123,-95.7472,57.0,100,90,12.66,US,1620781879
274,shymkent,42.3,69.6,55.4,71,0,6.71,KZ,1620781880
275,kamaishi,39.2667,141.8833,57.2,62,20,5.75,JP,1620781770
276,dekar,-21.5333,21.9333,58.59,41,0,5.53,BW,1620781880
277,roros,62.5747,11.3842,28.4,100,100,1.14,NO,1620781881
278,abnub,27.2696,31.1511,73.4,46,0,11.5,EG,1620781881
279,atar,20.5169,-13.0499,84.11,12,0,11.05,MR,1620781842
280,dudinka,69.4058,86.1778,32.29,98,100,3.22,RU,1620781882
281,suoyarvi,62.0833,32.35,49.39,89,6,5.75,RU,1620781883
282,nsanje,-16.92,35.262,61.97,96,0,1.07,MW,1620781884
283,avera,33.194,-82.5271,73.4,94,90,3.44,US,1620781884
284,cockburn town,-32.0833,141.0,50.0,76,0,9.22,AU,1620781885
285,port-gentil,-0.7193,8.7815,81.46,78,92,9.04,GA,1620781885
286,eyemouth,55.8713,-2.0901,45.0,83,100,1.99,GB,1620781886
287,tortoli,39.9256,9.6572,59.0,72,0,4.61,IT,1620781887
288,daru,-9.0763,143.2092,82.53,79,56,8.97,PG,1620781888
289,furukawa,38.5717,140.9556,59.0,47,40,6.91,JP,1620781888
290,luderitz,-26.6481,15.1594,68.18,44,0,7.49,NA,1620781889
291,saint-georges,12.0564,-61.7485,80.6,78,20,14.97,GD,1620781890
292,puerto leguizamo,36.5939,-6.233,60.8,77,0,5.75,ES,1620781891
293,salinopolis,-0.6136,-47.3561,77.2,87,95,5.75,BR,1620781891
294,pleshanovo,52.8333,53.4833,58.01,58,97,4.61,RU,1620781891
295,dali,25.7,100.1833,63.97,60,70,5.64,CN,1620781892
296,naze,28.3667,129.4833,75.2,94,75,16.11,JP,1620781892
297,adrar,20.5022,-10.0711,83.19,12,0,13.02,MR,1620781893
298,sao joao da barra,20.5113,76.2129,77.5,50,8,11.32,IN,1620781894
299,springbok,-29.6643,17.8865,57.85,30,0,0.45,ZA,1620781895
300,san cristobal,13.3034,-4.8956,90.52,32,99,8.7,ML,1620781856
301,north platte,50.3333,3.6667,48.2,87,16,5.75,FR,1620781893
302,batagay,67.6333,134.6333,28.89,68,100,6.89,RU,1620781896
303,nioro,13.35,-15.75,78.17,56,61,9.98,GM,1620781896
304,pangody,65.85,74.4859,34.47,79,24,5.5,RU,1620781897
305,sao mateus,20.5113,76.2129,77.5,50,8,11.32,IN,1620781897
306,bilma,18.6853,12.9164,91.35,10,1,5.06,NE,1620781898
307,severo-yeniseyskiy,60.3725,93.0408,39.43,71,3,2.84,RU,1620781898
308,rawson,-43.3002,-65.1023,56.89,40,66,7.38,AR,1620781848
309,horgos,46.1556,19.9725,57.99,54,21,10.0,RS,1620781899
310,yaan,7.3833,8.5667,78.3,79,79,8.12,NG,1620781899
311,nizwa,22.9333,57.5333,80.33,31,68,3.22,OM,1620781900
312,lavrentiya,65.5833,-171.0,34.99,99,100,4.59,RU,1620781900
313,ancud,-41.8697,-73.8203,50.0,93,90,5.75,CL,1620781773
314,cherepovets,59.1333,37.9,46.18,86,3,4.92,RU,1620781902
315,simpang,-1.2667,104.0833,79.77,91,80,3.74,ID,1620781902
316,gat,31.61,34.7642,66.0,41,0,1.99,IL,1620781903
317,lakes entrance,61.6071,-149.3086,57.99,35,75,17.27,US,1620781905
